soil_num,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,TOC,PH,TN,SN,SP,SK,WT
土壤-15404,0.703125,0.7007853,-1,0,0.7097371,0.7002767,-1,0,#NAME?,0,0,0,0,0,0,0,0,0.6007313,0.7541045,0.7107897,0.6839628,0.7082009,0.7101462,0.7054934,0.7266171,0.7466918,41.4,5.63,2.167221,121.7307,87,70.5,15
土壤-15405,0.7084147,0.7012939,-1,0,0.7058716,0.7003784,-1,0,0.9990955,0,0,0,0,0,0,0,0,0.642572,0.8506938,0.7920294,0.7495624,0.7490852,0.7510245,0.7459184,0.7699456,0.7928419,13.1,5.06,0.9180402,128.2134,182.4,140.5,15
土壤-15406,0.7033284,0.6975301,-1,0,0.7000732,0.6976318,-1,0,0.9991182,0,0,0,0,0,0,0,0,0.6175417,0.7741522,0.7307953,0.702368,0.722164,0.7259427,0.7191151,0.740537,0.7607837,13.7,5.54,0.982653,98.6811,92.5,88,15
土壤-10306,0.700175,0.694987,-1,0,0.7022095,0.6978353,-1,0,0.9991085,0,0,0,0,0,0,0,0,0.6558016,0.7964915,0.7492002,0.718573,0.7222807,0.72598,0.718674,0.7359593,0.7530273,9.5,4.81,0.8722728,217.89075,147.6,279,10
土壤-10309,0.707194,0.6958008,-1,0,0.6986491,0.700887,-1,0,0.9991673,0,0,0,0,0,0,0,0,0.6055883,0.7003721,0.6734045,0.6597995,0.6926039,0.6980352,0.6883013,0.705584,0.7229314,23.9,5.38,1.3461,164.2284,161.4,314.5,10
土壤-10311,0.6983439,0.6992595,-1,0,0.6946818,0.6963094,-1,0,0.9991352,0,0,0,0,0,0,0,0,0.6355644,0.7519956,0.7142777,0.6917362,0.7028553,0.7084076,0.7008305,0.7153953,0.7306287,15.1,4.67,0.848043,86.436,228.5,153.5,10
土壤-10313,0.7057698,0.6868489,-1,0,0.6919352,0.6958008,-1,0,0.9991104,0,0,0,0,0,0,0,0,0.5848315,0.7160795,0.6760694,0.6513001,0.6720353,0.6727691,0.6641179,0.6825102,0.7000219,22.3,5.5,0.6542046,141.8991,155,282.5,10
土壤-10315,0.7076009,0.6969197,-1,0,0.7014974,0.6940715,-1,0,0.9991373,0,0,0,0,0,0,0,0,0.7602268,0.9374183,0.8842732,0.8441026,0.8269122,0.8334782,0.8281028,0.8490085,0.8694308,22,5.87,1.5197469,191.23965,176.2,59.25,10
土壤-10317,0.7002767,0.7051595,-1,0,0.7084147,0.7002767,-1,0,0.9991477,0,0,0,0,0,0,0,0,0.6591,0.8237257,0.7728323,0.7382573,0.7418379,0.7444803,0.7382228,0.7586585,0.7780021,19.6,6.08,0.8386203,146.58105,218.7,122.5,10
土壤-10320,0.7138062,0.6916301,-1,0,0.7030233,0.6982422,-1,0,0.9990939,0,0,0,0,0,0,0,0,0.6461715,0.8497046,0.7912232,0.748394,0.7425915,0.7449568,0.7398068,0.7635223,0.7845929,23.9,4.06,1.2599496,106.24425,243,134.5,10
土壤-10356,0.7022095,0.6983439,-1,0,0.7006836,0.6916301,-1,0,0.9990605,0,0,0,0,0,0,0,0,0.6176454,0.7567413,0.7147886,0.6881698,0.7082397,0.7103325,0.7052058,0.7232437,0.7415029,21.4,5.61,1.2330276,109.4856,29.4,49,10
土壤-10357,0.7052612,0.6907145,-1,0,0.6933594,0.6971232,-1,0,0.9991317,0,0,0,0,0,0,0,0,0.6014222,0.7594014,0.7144892,0.6846326,0.7096401,0.7087279,0.7070624,0.7268104,0.7451009,27,5.64,1.5426306,146.9412,24.5,62.5,10
土壤-10358,0.6981404,0.6981404,-1,0,0.7043457,0.6977336,-1,0,0.9991341,0,0,0,0,0,0,0,0,0.561979,0.7032797,0.6612372,0.6350433,0.6604685,0.6597804,0.6562579,0.6744223,0.6918274,21.8,5.85,1.3932135,110.9262,179,84,10
土壤-10359,0.7063802,0.6960042,-1,0,0.7011922,0.7025146,-1,0,0.9991441,0,0,0,0,0,0,0,0,0.5397384,0.6940714,0.6498825,0.6226397,0.6515093,0.649461,0.6456347,0.6652082,0.6835657,21.1,5.25,1.130724,118.1292,162.4,258,10
土壤-10360,0.697937,0.690511,-1,0,0.7040405,0.6968181,-1,0,0.9991456,0,0,0,0,0,0,0,0,0.7028474,0.7968124,0.7644364,0.7454947,0.7580536,0.7644744,0.7559029,0.7700798,0.7850702,29.3,5.98,1.6543569,225.4539,78.7,160.25,10
土壤-10363,0.700887,0.6881714,-1,0,0.704244,0.7000732,-1,0,0.9991559,0,0,0,0,0,0,0,0,0.5797408,0.7052736,0.6663561,0.6431477,0.6700516,0.6692482,0.6652678,0.6828203,0.6992089,23,6.41,1.938384,119.5698,91.3,40,10
土壤-10368,0.7128906,0.6901042,-1,0,0.6968181,0.689799,-1,0,0.9990876,0,0,0,0,0,0,0,0,0.7021657,0.8309733,0.7862943,0.7561837,0.7629553,0.7630647,0.753787,0.7723916,0.7909774,28.7,5.55,0.9126558,106.6044,181.8,86,10
