soil_num,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,TOC,PH,TN,SN,SP,SK,WT
soil-4011,0.6953939,0.705363,-1,0,0.6972249,0.6972249,-1,0,0.9992257,0,0,0,0,0,0,0,0,0.4939704,0.5465351,0.5339596,0.5320978,0.5922352,0.5892825,0.5814141,0.5972008,0.6119062,13.5,5.02,1.0149594,109.4856,67.6,40.5,1.67248001
soil-4012,0.6964111,0.6951904,-1,0,0.6939697,0.6988525,-1,0,0.9993411,0,0,0,0,0,0,0,0,0.4938928,0.546442,0.5345182,0.5321305,0.5925,0.5905281,0.5819925,0.5970055,0.6119334,13.5,5.02,1.0149594,109.4856,67.6,40.5,1.67248001
soil-4013,0.7010905,0.6958008,-1,0,0.6842041,0.6953939,-1,0,0.9992543,0,0,0,0,0,0,0,0,0.4947473,0.5464109,0.5341674,0.5324763,0.5928217,0.5903558,0.5821372,0.597519,0.612305,13.5,5.02,1.0149594,109.4856,67.6,40.5,1.67248001
soil-359,0.6967163,0.6972249,-1,0,0.7002767,0.6992595,-1,0,0.9992055,0,0,0,0,0,0,0,0,0.4903629,0.5501724,0.534705,0.5308099,0.5896423,0.5862353,0.5804441,0.5951038,0.6086693,21.1,5.25,1.130724,118.1292,162.4,258,1.649673138
soil-3591,0.7039388,0.690918,-1,0,0.7082112,0.6941732,-1,0,0.9993467,0,0,0,0,0,0,0,0,0.4879327,0.5480622,0.5320716,0.5284527,0.5866607,0.5837184,0.5773752,0.5917749,0.6054965,21.1,5.25,1.130724,118.1292,162.4,258,1.649673138
soil-3592,0.6984456,0.700887,-1,0,0.7004802,0.6960042,-1,0,0.9991866,0,0,0,0,0,0,0,0,0.4887966,0.5485764,0.5334449,0.5291079,0.5873681,0.5847048,0.578759,0.5928806,0.6062762,21.1,5.25,1.130724,118.1292,162.4,258,1.649673138
soil-3593,0.6937663,0.6923421,-1,0,0.6974284,0.7006836,-1,0,0.9991959,0,0,0,0,0,0,0,0,0.4898322,0.5500627,0.5339282,0.5303669,0.5888274,0.5859645,0.5795913,0.5940516,0.6078838,21.1,5.25,1.130724,118.1292,162.4,258,1.649673138
soil-357,0.7054647,0.6995646,-1,0,0.7082112,0.7048543,-1,0,0.9990898,0,0,0,0,0,0,0,0,0.5356103,0.5948699,0.5790741,0.5751663,0.631838,0.6296722,0.6256151,0.6400636,0.6533007,27,5.64,1.5426306,146.9412,24.5,62.5,1.621764336
soil-3571,0.6874593,0.6939697,-1,0,0.7094319,0.6958008,-1,0,0.9991161,0,0,0,0,0,0,0,0,0.5352039,0.5939088,0.5775524,0.5744557,0.6313866,0.628652,0.6247429,0.6395231,0.6527783,27,5.64,1.5426306,146.9412,24.5,62.5,1.621764336
soil-3572,0.707194,0.6962077,-1,0,0.6966146,0.6947835,-1,0,0.9992779,0,0,0,0,0,0,0,0,0.5329897,0.5912523,0.5756286,0.5723659,0.629392,0.627013,0.6230642,0.6375283,0.6507382,27,5.64,1.5426306,146.9412,24.5,62.5,1.621764336
